package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
ly.david.mbjc.ui.TopLevelScaffold,TopLevelScaffold,1,0,1,0,0,0,0,0,3,18,
ly.david.mbjc.ui.area.AreaScaffold,AreaScaffold,1,1,1,0,0,0,1,0,2,17,
ly.david.mbjc.ui.area.details.AreaDetailsScreen,AreaDetailsScreen,1,0,1,0,0,0,0,0,1,2,
ly.david.mbjc.ui.area.details.PreviewAreaDetailsScreen,PreviewAreaDetailsScreen,1,1,1,0,0,0,0,0,1,1,
ly.david.mbjc.ui.area.places.PlacesByAreaScreen,PlacesByAreaScreen,1,1,1,0,0,0,1,0,2,3,
ly.david.mbjc.ui.area.releases.ReleasesByAreaScreen,ReleasesByAreaScreen,1,1,1,0,0,0,1,0,2,3,
ly.david.mbjc.ui.area.stats.AreaStatsScreen,AreaStatsScreen,1,1,1,0,0,0,1,0,2,3,
ly.david.mbjc.ui.artist.ArtistScaffold,ArtistScaffold,1,1,1,0,0,0,1,0,2,17,
ly.david.mbjc.ui.artist.details.ArtistDetailsScreen,ArtistDetailsScreen,1,0,1,0,0,0,0,0,1,2,
ly.david.mbjc.ui.artist.details.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.mbjc.ui.artist.releasegroups.ReleaseGroupsByArtistScreen,ReleaseGroupsByArtistScreen,1,1,1,0,0,0,1,0,2,3,
ly.david.mbjc.ui.artist.releases.ReleasesByArtistScreen,ReleasesByArtistScreen,1,1,1,0,0,0,1,0,2,3,
ly.david.mbjc.ui.artist.stats.ArtistStatsScreen,ArtistStatsScreen,1,1,1,0,0,0,1,0,2,3,
ly.david.mbjc.ui.event.EventScaffold,EventScaffold,1,1,1,0,0,0,1,0,2,16,
ly.david.mbjc.ui.event.details.EventDetailsScreen,EventDetailsScreen,1,0,1,0,0,0,0,0,1,2,
ly.david.mbjc.ui.event.details.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.mbjc.ui.event.stats.EventStatsScreen,EventStatsScreen,1,1,1,0,0,0,1,0,2,3,
ly.david.mbjc.ui.genre.GenreScaffold,GenreScaffold,1,1,1,0,0,0,1,0,2,9,
ly.david.mbjc.ui.genre.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.mbjc.ui.instrument.InstrumentScaffold,InstrumentScaffold,1,1,1,0,0,0,1,0,2,16,
ly.david.mbjc.ui.instrument.details.InstrumentDetailsScreen,InstrumentDetailsScreen,1,0,1,0,0,0,0,0,1,2,
ly.david.mbjc.ui.instrument.details.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.mbjc.ui.instrument.stats.InstrumentStatsScreen,InstrumentStatsScreen,1,1,1,0,0,0,1,0,2,3,
ly.david.mbjc.ui.label.LabelScaffold,LabelScaffold,1,1,1,0,0,0,1,0,2,16,
ly.david.mbjc.ui.label.details.LabelDetailsScreen,LabelDetailsScreen,1,0,1,0,0,0,0,0,1,2,
ly.david.mbjc.ui.label.details.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.mbjc.ui.label.releases.ReleasesByLabelScreen,ReleasesByLabelScreen,1,1,1,0,0,0,1,0,2,3,
ly.david.mbjc.ui.label.stats.LabelStatsScreen,LabelStatsScreen,1,1,1,0,0,0,1,0,2,3,
ly.david.mbjc.ui.navigation.BottomNavigationBar,BottomNavigationBar,1,1,1,0,0,0,0,0,1,1,
ly.david.mbjc.ui.navigation.NavigationGraph,NavigationGraph,1,0,1,0,0,0,0,0,1,2,
ly.david.mbjc.ui.place.PlaceScaffold,PlaceScaffold,1,1,1,0,0,0,1,0,2,17,
ly.david.mbjc.ui.place.details.PlaceDetailsScreen,PlaceDetailsScreen,1,0,1,0,0,0,0,0,1,3,
ly.david.mbjc.ui.place.details.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.mbjc.ui.place.events.EventsByPlaceScreen,EventsByPlaceScreen,1,1,1,0,0,0,1,0,2,4,
ly.david.mbjc.ui.place.stats.PlaceStatsScreen,PlaceStatsScreen,1,1,1,0,0,0,1,0,2,3,
