package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
ly.david.musicsearch.feature.stats.Default,Default,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.feature.stats.NoRelationships,NoRelationships,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.feature.stats.NullRelationships,NullRelationships,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.feature.stats.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.feature.stats.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.feature.stats.Empty,Empty,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.feature.stats.Half,Half,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.feature.stats.Full,Full,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.feature.stats.Overflow,Overflow,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.feature.stats.PreviewStatsScreen,PreviewStatsScreen,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.feature.stats.StatsScreen,StatsScreen,1,1,1,0,0,0,0,0,1,2,
ly.david.musicsearch.feature.stats.internal.LocalRemoteProgressBar,LocalRemoteProgressBar,1,1,1,0,0,0,0,0,1,1,
