package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
ly.david.musicsearch.shared.feature.collections.CollectionBottomSheet,CollectionBottomSheet,1,0,1,0,0,0,0,0,1,2,
ly.david.musicsearch.shared.feature.collections.CollectionListItem,CollectionListItem,1,0,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.collections.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.collections.CollectionListScaffold,CollectionListScaffold,1,1,1,0,0,0,1,0,2,10,
ly.david.musicsearch.shared.feature.collections.CollectionsFilterChipsBar,CollectionsFilterChipsBar,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.collections.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.collections.CollectionScaffold,CollectionScaffold,1,1,1,0,0,0,1,0,2,8,
ly.david.musicsearch.shared.feature.collections.CollectionScaffoldContent,CollectionScaffoldContent,1,1,1,0,0,0,0,0,15,12,
ly.david.musicsearch.shared.feature.collections.CreateCollectionDialog,CreateCollectionDialog,1,1,1,0,0,0,0,0,1,5,
ly.david.musicsearch.shared.feature.collections.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.collections.areas.AreasByCollectionScreen,AreasByCollectionScreen,1,1,1,0,0,0,1,0,2,7,
ly.david.musicsearch.shared.feature.collections.artists.ArtistsByCollectionScreen,ArtistsByCollectionScreen,1,1,1,0,0,0,1,0,2,7,
ly.david.musicsearch.shared.feature.collections.events.EventsByCollectionScreen,EventsByCollectionScreen,1,1,1,0,0,0,1,0,2,7,
ly.david.musicsearch.shared.feature.collections.instruments.InstrumentsByCollectionScreen,InstrumentsByCollectionScreen,1,1,1,0,0,0,1,0,2,7,
ly.david.musicsearch.shared.feature.collections.labels.LabelsByCollectionScreen,LabelsByCollectionScreen,1,1,1,0,0,0,1,0,2,7,
ly.david.musicsearch.shared.feature.collections.places.PlacesByCollectionScreen,PlacesByCollectionScreen,1,1,1,0,0,0,1,0,2,7,
ly.david.musicsearch.shared.feature.collections.recordings.RecordingsByCollectionScreen,RecordingsByCollectionScreen,1,1,1,0,0,0,1,0,2,7,
ly.david.musicsearch.shared.feature.collections.releasegroups.ReleaseGroupsByCollectionScreen,ReleaseGroupsByCollectionScreen,1,1,1,0,0,0,1,0,2,8,
ly.david.musicsearch.shared.feature.collections.releases.ReleasesByCollectionScreen,ReleasesByCollectionScreen,1,1,1,0,0,0,1,0,2,7,
ly.david.musicsearch.shared.feature.collections.series.SeriesByCollectionScreen,SeriesByCollectionScreen,1,1,1,0,0,0,1,0,2,7,
ly.david.musicsearch.shared.feature.collections.works.WorksByCollectionScreen,WorksByCollectionScreen,1,1,1,0,0,0,1,0,2,7,
