package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
ly.david.musicsearch.shared.feature.details.alias.PreviewAliasListItemPrimaryLightDark,PreviewAliasListItemPrimaryLightDark,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.details.alias.PreviewAliasListItemEndedLightDark,PreviewAliasListItemEndedLightDark,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.details.alias.PreviewAliasesSectionLightDark,PreviewAliasesSectionLightDark,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.details.area.PreviewAreaDetails,PreviewAreaDetails,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.details.area.PreviewAreaDetailsCollapsed,PreviewAreaDetailsCollapsed,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.details.area.PreviewAreaDetailsError,PreviewAreaDetailsError,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.details.area.PreviewAreaRelationships,PreviewAreaRelationships,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.details.area.PreviewAreaArtists,PreviewAreaArtists,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.details.area.PreviewAreaEvents,PreviewAreaEvents,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.details.area.PreviewAreaLabels,PreviewAreaLabels,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.details.area.PreviewAreaReleases,PreviewAreaReleases,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.details.area.PreviewAreaPlaces,PreviewAreaPlaces,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.details.area.PreviewAreaStats,PreviewAreaStats,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.details.artist.PreviewArtistDetailsUi,PreviewArtistDetailsUi,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.details.artist.PreviewArtistDetailsUiCollapsed,PreviewArtistDetailsUiCollapsed,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.details.artist.PreviewArtistDetailsUiWithFilter,PreviewArtistDetailsUiWithFilter,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.details.artist.PreviewArtistDetailsUiWithListens,PreviewArtistDetailsUiWithListens,1,1,1,0,0,0,0,0,1,1,
