package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
ly.david.musicsearch.shared.feature.stats.AreaStatsPresenter.present,present,1,0,0,0,0,0,0,0,1,6,
ly.david.musicsearch.shared.feature.stats.ArtistStatsPresenter.present,present,1,0,0,0,0,0,0,0,1,6,
ly.david.musicsearch.shared.feature.stats.EventStatsPresenter.present,present,1,0,0,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.InstrumentStatsPresenter.present,present,1,0,0,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.LabelStatsPresenter.present,present,1,0,0,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.PlaceStatsPresenter.present,present,1,0,0,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.RecordingStatsPresenter.present,present,1,0,0,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.ReleaseGroupStatsPresenter.present,present,1,0,0,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.ReleaseStatsPresenter.present,present,1,0,0,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.SeriesStatsPresenter.present,present,1,0,0,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.StatsUi,StatsUi,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.StatsUi,StatsUi,1,1,1,0,0,0,0,0,1,2,
ly.david.musicsearch.shared.feature.stats.WorkStatsPresenter.present,present,1,0,0,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.internal.LocalRemoteProgressBar,LocalRemoteProgressBar,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.Default,Default,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.NoRelationships,NoRelationships,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.NullRelationships,NullRelationships,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.Empty,Empty,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.Half,Half,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.Full,Full,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.Overflow,Overflow,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.stats.PreviewStatsScreen,PreviewStatsScreen,1,1,1,0,0,0,0,0,1,1,
