package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
ly.david.ui.collections.CollectionBottomSheet,CollectionBottomSheet,1,0,1,0,0,0,0,0,1,2,
ly.david.ui.collections.CollectionListItem,CollectionListItem,1,0,1,0,0,0,0,0,1,1,
ly.david.ui.collections.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.collections.CollectionListScaffold,CollectionListScaffold,1,1,1,0,0,0,1,0,2,10,
ly.david.ui.collections.CollectionsFilterChipsBar,CollectionsFilterChipsBar,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.collections.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.collections.CollectionScaffold,CollectionScaffold,1,1,1,0,0,0,1,0,2,10,
ly.david.ui.collections.CollectionScaffoldContent,CollectionScaffoldContent,1,1,1,0,0,0,0,0,15,12,
ly.david.ui.collections.CreateCollectionDialog,CreateCollectionDialog,1,1,1,0,0,0,0,0,1,7,
ly.david.ui.collections.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.collections.areas.AreasByCollectionScreen,AreasByCollectionScreen,1,1,1,0,0,0,1,0,2,9,
ly.david.ui.collections.artists.ArtistsByCollectionScreen,ArtistsByCollectionScreen,1,1,1,0,0,0,1,0,2,9,
ly.david.ui.collections.events.EventsByCollectionScreen,EventsByCollectionScreen,1,1,1,0,0,0,1,0,2,9,
ly.david.ui.collections.instruments.InstrumentsByCollectionScreen,InstrumentsByCollectionScreen,1,1,1,0,0,0,1,0,2,9,
ly.david.ui.collections.labels.LabelsByCollectionScreen,LabelsByCollectionScreen,1,1,1,0,0,0,1,0,2,9,
ly.david.ui.collections.places.PlacesByCollectionScreen,PlacesByCollectionScreen,1,1,1,0,0,0,1,0,2,9,
ly.david.ui.collections.recordings.RecordingsByCollectionScreen,RecordingsByCollectionScreen,1,1,1,0,0,0,1,0,2,9,
ly.david.ui.collections.releasegroups.ReleaseGroupsByCollectionScreen,ReleaseGroupsByCollectionScreen,1,1,1,0,0,0,1,0,2,11,
ly.david.ui.collections.releases.ReleasesByCollectionScreen,ReleasesByCollectionScreen,1,1,1,0,0,0,1,0,2,9,
ly.david.ui.collections.series.SeriesByCollectionScreen,SeriesByCollectionScreen,1,1,1,0,0,0,1,0,2,9,
ly.david.ui.collections.works.WorksByCollectionScreen,WorksByCollectionScreen,1,1,1,0,0,0,1,0,2,9,
