package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
ly.david.ui.settings.DevSettingsSection,DevSettingsSection,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.settings.SettingsScaffold,SettingsScaffold,1,1,1,0,0,0,1,0,2,3,
ly.david.ui.settings.SettingsScreen,SettingsScreen,1,1,1,0,0,0,0,0,1,2,
ly.david.ui.settings.PreviewSettingsScreen,PreviewSettingsScreen,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.settings.PreviewSettingsScreenNotificationListenerEnable,PreviewSettingsScreenNotificationListenerEnable,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.settings.components.ProfileCard,ProfileCard,1,1,1,0,0,0,0,0,1,2,
ly.david.ui.settings.components.PreviewProfileCardLoggedOut,PreviewProfileCardLoggedOut,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.settings.components.PreviewProfileCardLoggedIn,PreviewProfileCardLoggedIn,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.settings.components.PreviewProfileCardLoggedInWaitingForUsername,PreviewProfileCardLoggedInWaitingForUsername,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.settings.components.SettingSwitch,SettingSwitch,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.settings.components.PreviewSettingSwitchChecked,PreviewSettingSwitchChecked,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.settings.components.PreviewSettingSwitchUnchecked,PreviewSettingSwitchUnchecked,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.settings.components.SettingWithDialogChoices,SettingWithDialogChoices,1,0,1,0,0,0,0,0,2,3,
ly.david.ui.settings.components.PreviewSettingWithDialogChoices,PreviewSettingWithDialogChoices,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.settings.licenses.LicensesScaffold,LicensesScaffold,1,1,1,0,0,0,0,0,1,2,
