package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
ly.david.ui.stats.Default,Default,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.stats.NoRelationships,NoRelationships,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.stats.NullRelationships,NullRelationships,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.stats.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.stats.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.stats.LocalRemoteProgressBar,LocalRemoteProgressBar,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.stats.Empty,Empty,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.stats.Half,Half,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.stats.Full,Full,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.stats.Overflow,Overflow,1,1,1,0,0,0,0,0,1,1,
ly.david.ui.stats.StatsScreen,StatsScreen,1,1,1,0,0,0,0,0,1,2,
ly.david.ui.stats.PreviewStatsScreen,PreviewStatsScreen,1,1,1,0,0,0,0,0,1,1,
